
@relation gathering2

@attribute fuel {full, much, half, little, lack}
@attribute water {full, much, half, little, lack}
@attribute surface {Buraki, Kukurydza, Droga}
@attribute maturity {developed, well, medium, poorly}
@attribute fuel_distance {far, medium, near}
@attribute water_distance {far, medium, near}
@attribute weather {sunny, cloudy, rainy}
@attribute gather {yes, no}

@data
little, full, Kukurydza, poorly, medium, medium, sunny, no
little, little, Droga, well, medium, medium, cloudy, no
half, full, Droga, developed, far, near, rainy, no
full, lack, Kukurydza, well, medium, near, rainy, no
little, full, Kukurydza, well, near, far, rainy, no
lack, much, Buraki, developed, near, far, cloudy, yes
lack, lack, Droga, well, medium, near, sunny, no
much, half, Buraki, medium, medium, medium, sunny, no
little, half, Buraki, medium, near, near, rainy, no
half, full, Buraki, developed, medium, near, rainy, no
much, much, Kukurydza, medium, medium, medium, cloudy, yes
lack, lack, Droga, medium, near, far, cloudy, no
half, half, Droga, well, near, near, cloudy, no
half, much, Buraki, developed, near, medium, sunny, no
much, much, Buraki, poorly, far, near, sunny, yes
much, full, Kukurydza, well, near, near, cloudy, yes
much, lack, Droga, medium, far, far, sunny, no
half, lack, Buraki, developed, medium, near, rainy, no
little, lack, Buraki, developed, medium, medium, rainy, no
half, half, Droga, well, near, medium, cloudy, no
much, full, Buraki, medium, near, far, cloudy, yes
much, much, Buraki, well, medium, far, rainy, no
little, little, Buraki, medium, medium, medium, rainy, no
full, half, Buraki, medium, medium, far, cloudy, no
full, half, Droga, poorly, near, medium, rainy, no
half, lack, Buraki, well, medium, far, rainy, no
little, full, Buraki, developed, medium, near, cloudy, no
much, lack, Kukurydza, well, far, near, cloudy, yes
full, much, Kukurydza, well, near, far, rainy, no
half, lack, Droga, poorly, far, far, sunny, no
full, much, Buraki, well, medium, near, rainy, no
little, little, Kukurydza, poorly, far, far, cloudy, no
much, full, Kukurydza, well, medium, near, sunny, yes
half, half, Buraki, well, far, far, rainy, no
lack, half, Buraki, poorly, near, far, cloudy, no
little, little, Droga, medium, medium, medium, cloudy, no
full, lack, Buraki, medium, medium, medium, sunny, no
much, half, Kukurydza, developed, far, medium, sunny, no
little, lack, Droga, well, near, near, cloudy, no
much, much, Kukurydza, poorly, near, far, rainy, no
full, full, Buraki, poorly, near, far, cloudy, yes
half, half, Droga, well, medium, far, sunny, no
much, full, Kukurydza, poorly, far, near, rainy, no
much, lack, Kukurydza, well, medium, far, sunny, no
lack, lack, Kukurydza, well, near, near, rainy, no
much, much, Buraki, well, near, medium, sunny, yes
half, lack, Buraki, medium, far, near, cloudy, no
much, much, Kukurydza, medium, medium, far, rainy, no
full, little, Droga, poorly, far, medium, rainy, no
full, full, Droga, developed, far, far, cloudy, no
little, lack, Kukurydza, well, near, near, rainy, no
little, half, Droga, poorly, medium, near, sunny, no
little, much, Buraki, well, far, medium, cloudy, no
much, little, Kukurydza, medium, far, near, sunny, no
little, lack, Buraki, poorly, far, far, cloudy, no
much, half, Droga, poorly, medium, far, rainy, no
much, much, Droga, medium, medium, near, sunny, no
lack, little, Buraki, well, near, medium, rainy, no
lack, lack, Buraki, poorly, near, near, rainy, no
lack, half, Droga, medium, medium, far, rainy, no
full, lack, Droga, poorly, near, far, cloudy, no
full, lack, Droga, well, far, far, rainy, no
little, lack, Buraki, poorly, medium, near, sunny, no
much, lack, Buraki, medium, medium, near, cloudy, yes
full, full, Buraki, poorly, far, near, sunny, yes
full, full, Kukurydza, medium, near, far, cloudy, yes
much, little, Droga, well, far, medium, cloudy, no
much, little, Buraki, developed, near, near, sunny, no
lack, much, Kukurydza, medium, far, far, cloudy, no
little, half, Kukurydza, poorly, near, far, cloudy, no
much, half, Buraki, poorly, medium, far, rainy, no
lack, lack, Buraki, medium, near, medium, sunny, no
lack, little, Buraki, medium, medium, near, cloudy, no
half, lack, Droga, well, far, near, cloudy, no
little, half, Droga, poorly, medium, medium, cloudy, no
lack, full, Droga, well, near, near, rainy, no
lack, little, Kukurydza, well, medium, near, cloudy, no
little, half, Buraki, medium, near, near, rainy, no
full, half, Buraki, developed, far, far, sunny, no
little, little, Kukurydza, poorly, far, medium, rainy, no
lack, half, Droga, developed, far, near, rainy, no
much, lack, Buraki, poorly, far, far, rainy, no
little, little, Buraki, well, medium, medium, sunny, no
much, little, Buraki, developed, far, near, cloudy, no
full, lack, Droga, developed, medium, far, sunny, no
lack, half, Buraki, medium, near, far, sunny, no
much, much, Droga, developed, far, far, sunny, no
half, half, Kukurydza, medium, medium, medium, sunny, no
lack, little, Kukurydza, medium, near, medium, rainy, no
half, lack, Droga, developed, far, near, cloudy, no
much, lack, Buraki, well, near, medium, sunny, no
lack, much, Droga, developed, far, far, sunny, no
little, full, Buraki, developed, near, near, rainy, no
full, lack, Droga, medium, medium, medium, sunny, no
lack, little, Droga, medium, near, medium, cloudy, no
little, lack, Kukurydza, well, far, medium, cloudy, no
half, half, Droga, poorly, far, medium, rainy, no
lack, full, Kukurydza, poorly, far, near, sunny, no
full, little, Kukurydza, well, medium, medium, sunny, no
little, full, Kukurydza, medium, medium, medium, cloudy, no
lack, lack, Buraki, medium, far, far, sunny, no
lack, little, Kukurydza, medium, medium, medium, sunny, no
lack, little, Buraki, medium, near, near, rainy, no
lack, full, Buraki, well, medium, far, sunny, no
lack, little, Droga, well, medium, far, rainy, no
little, lack, Droga, developed, medium, far, rainy, no
lack, full, Buraki, poorly, near, medium, rainy, no
half, much, Buraki, medium, far, near, rainy, no
little, much, Droga, developed, far, far, cloudy, no
half, half, Buraki, developed, near, medium, rainy, no
half, little, Droga, developed, medium, near, cloudy, no
full, lack, Buraki, medium, near, far, rainy, no
much, lack, Droga, well, far, near, rainy, no
much, half, Droga, well, far, far, rainy, no
full, much, Buraki, poorly, medium, near, rainy, no
little, half, Droga, well, near, far, cloudy, no
half, lack, Kukurydza, medium, near, medium, sunny, no
half, half, Kukurydza, well, far, near, sunny, no
much, full, Buraki, developed, far, near, rainy, no
little, much, Buraki, poorly, far, near, sunny, no
much, little, Kukurydza, poorly, medium, near, rainy, no
full, little, Buraki, medium, near, far, cloudy, no
much, little, Kukurydza, medium, far, near, rainy, no
lack, much, Kukurydza, poorly, medium, near, cloudy, no
full, much, Kukurydza, poorly, medium, far, cloudy, yes
little, half, Droga, developed, medium, near, rainy, no
lack, half, Kukurydza, well, near, far, sunny, no
full, full, Buraki, well, medium, medium, cloudy, yes
lack, little, Buraki, poorly, near, medium, cloudy, no
much, half, Buraki, developed, near, far, rainy, no
lack, little, Droga, poorly, far, near, cloudy, no
little, much, Droga, poorly, far, near, cloudy, no
much, half, Kukurydza, well, medium, near, cloudy, yes
lack, lack, Buraki, well, far, near, rainy, no
lack, much, Kukurydza, poorly, near, far, sunny, yes
little, half, Buraki, poorly, medium, far, rainy, no
much, much, Buraki, well, near, medium, rainy, no
full, lack, Buraki, poorly, medium, far, sunny, no
lack, little, Droga, medium, far, far, rainy, no
much, much, Droga, well, far, medium, rainy, no
half, lack, Droga, developed, medium, medium, sunny, no
lack, much, Kukurydza, medium, near, near, cloudy, yes
much, full, Kukurydza, developed, medium, near, sunny, yes
little, lack, Droga, poorly, near, far, cloudy, no
half, half, Kukurydza, well, medium, medium, cloudy, no
little, full, Buraki, poorly, medium, medium, rainy, no
much, lack, Buraki, medium, near, medium, sunny, no
much, half, Droga, medium, medium, near, rainy, no
much, little, Kukurydza, well, near, medium, rainy, no
much, lack, Kukurydza, developed, medium, medium, rainy, no
full, much, Droga, well, far, far, sunny, no
little, much, Droga, medium, near, far, rainy, no
lack, much, Kukurydza, developed, near, medium, sunny, yes
half, much, Buraki, well, far, medium, rainy, no
full, little, Droga, well, near, near, sunny, no
full, full, Droga, developed, near, near, cloudy, no
little, lack, Kukurydza, poorly, medium, medium, rainy, no
full, little, Kukurydza, medium, medium, medium, cloudy, no
little, half, Droga, medium, medium, far, sunny, no
full, full, Kukurydza, developed, far, far, sunny, yes
full, little, Buraki, well, far, medium, sunny, no
half, half, Droga, well, far, near, sunny, no
half, half, Droga, well, medium, far, cloudy, no
lack, much, Buraki, poorly, near, medium, cloudy, yes
little, little, Buraki, poorly, far, medium, rainy, no
half, full, Buraki, developed, far, far, cloudy, no
little, full, Droga, well, near, near, rainy, no
much, lack, Droga, medium, far, far, cloudy, no
little, half, Buraki, medium, medium, medium, rainy, no
full, much, Droga, medium, near, far, cloudy, no
little, much, Kukurydza, well, near, far, cloudy, no
lack, little, Buraki, well, medium, medium, rainy, no
lack, much, Kukurydza, medium, medium, far, sunny, no
little, little, Buraki, well, far, near, rainy, no
half, little, Buraki, medium, near, near, sunny, no
half, little, Droga, developed, medium, medium, cloudy, no
much, lack, Kukurydza, medium, near, far, rainy, no
lack, lack, Droga, medium, medium, far, sunny, no
full, lack, Droga, medium, medium, far, sunny, no
little, little, Droga, medium, near, medium, cloudy, no
much, lack, Droga, well, far, far, sunny, no
full, full, Kukurydza, well, near, far, cloudy, yes
little, much, Droga, medium, medium, medium, rainy, no
lack, full, Droga, poorly, medium, near, sunny, no
full, lack, Kukurydza, well, medium, medium, sunny, no
much, full, Buraki, medium, medium, medium, rainy, no
half, lack, Buraki, poorly, far, medium, cloudy, no
little, half, Kukurydza, medium, near, medium, sunny, no
full, half, Buraki, medium, medium, far, rainy, no
half, much, Kukurydza, poorly, medium, near, sunny, no
full, lack, Kukurydza, poorly, far, far, sunny, no
little, half, Kukurydza, poorly, medium, near, rainy, no
lack, much, Droga, well, medium, medium, rainy, no
much, lack, Kukurydza, developed, far, near, rainy, no
much, lack, Kukurydza, poorly, medium, near, rainy, no
full, little, Kukurydza, medium, near, far, rainy, no
lack, lack, Kukurydza, developed, medium, near, cloudy, no
much, little, Droga, well, near, far, sunny, no
full, much, Kukurydza, medium, far, near, cloudy, yes
full, half, Kukurydza, well, far, far, rainy, no
full, lack, Buraki, medium, medium, medium, cloudy, no
little, half, Kukurydza, well, medium, medium, rainy, no
half, much, Kukurydza, poorly, near, medium, rainy, no
half, much, Droga, developed, medium, near, rainy, no
much, full, Kukurydza, developed, far, near, sunny, yes
lack, lack, Droga, well, medium, medium, rainy, no
full, little, Buraki, medium, medium, medium, cloudy, no
full, little, Buraki, well, medium, medium, cloudy, no
lack, full, Droga, developed, far, medium, sunny, no
much, half, Buraki, medium, near, near, rainy, no
lack, lack, Buraki, well, near, far, rainy, no
much, half, Buraki, well, near, medium, sunny, no
lack, lack, Kukurydza, poorly, far, near, cloudy, no
full, little, Droga, medium, far, medium, sunny, no
full, lack, Buraki, developed, near, far, sunny, no
half, much, Kukurydza, developed, near, near, rainy, no
little, lack, Kukurydza, well, far, near, cloudy, no
little, full, Buraki, developed, medium, far, rainy, no
lack, little, Droga, developed, medium, medium, rainy, no
half, full, Droga, medium, far, near, cloudy, no
much, lack, Kukurydza, well, near, medium, cloudy, no
little, half, Droga, medium, medium, medium, sunny, no
lack, much, Kukurydza, developed, far, near, cloudy, no
full, lack, Droga, well, near, medium, cloudy, no
much, lack, Buraki, medium, far, far, sunny, no
little, lack, Buraki, poorly, near, medium, cloudy, no
full, lack, Kukurydza, poorly, far, near, cloudy, yes
little, little, Buraki, well, far, far, sunny, no
little, full, Buraki, medium, medium, far, rainy, no
half, much, Kukurydza, poorly, far, far, sunny, no
half, full, Droga, medium, medium, medium, sunny, no
much, full, Droga, poorly, near, medium, cloudy, no
full, little, Kukurydza, poorly, near, near, rainy, no
lack, little, Kukurydza, medium, near, medium, rainy, no
full, little, Buraki, medium, far, near, cloudy, no
half, half, Kukurydza, poorly, far, near, cloudy, no
full, full, Droga, medium, far, medium, sunny, no
much, much, Buraki, medium, medium, near, sunny, yes
full, much, Kukurydza, medium, far, near, cloudy, yes
half, full, Kukurydza, medium, near, near, sunny, no
lack, much, Kukurydza, poorly, far, near, sunny, no
lack, much, Buraki, medium, medium, medium, rainy, no
much, half, Kukurydza, well, near, medium, sunny, no
half, much, Kukurydza, developed, near, medium, sunny, no
lack, much, Buraki, developed, far, near, sunny, no
lack, half, Droga, poorly, near, far, rainy, no
much, half, Droga, well, medium, near, cloudy, no
lack, much, Kukurydza, well, far, medium, cloudy, no
half, lack, Buraki, developed, medium, near, sunny, no
much, much, Droga, medium, far, near, sunny, no
half, little, Droga, developed, medium, medium, rainy, no
much, full, Kukurydza, well, medium, near, rainy, no
much, lack, Buraki, developed, far, far, cloudy, no
little, little, Kukurydza, medium, far, far, cloudy, no
much, lack, Droga, poorly, far, medium, cloudy, no
much, half, Droga, well, medium, medium, cloudy, no
lack, little, Droga, developed, near, near, rainy, no
full, lack, Buraki, poorly, medium, medium, cloudy, no
lack, half, Droga, medium, far, far, sunny, no
little, little, Droga, well, far, near, rainy, no
much, little, Kukurydza, medium, far, medium, rainy, no
much, full, Droga, well, far, far, cloudy, no
lack, half, Droga, medium, medium, medium, cloudy, no
half, lack, Droga, developed, near, far, rainy, no
half, much, Kukurydza, medium, far, far, rainy, no
half, half, Droga, well, near, near, cloudy, no
full, much, Kukurydza, well, far, medium, cloudy, yes
half, little, Kukurydza, well, medium, near, cloudy, no
little, half, Kukurydza, medium, far, near, sunny, no
little, full, Buraki, poorly, far, near, cloudy, no
much, much, Droga, developed, medium, far, rainy, no
full, lack, Buraki, developed, near, near, rainy, no
little, much, Buraki, developed, near, far, rainy, no
full, lack, Droga, poorly, far, far, rainy, no
half, half, Kukurydza, well, medium, medium, rainy, no
full, full, Droga, poorly, medium, medium, rainy, no
half, little, Kukurydza, poorly, near, medium, rainy, no
much, half, Droga, developed, near, medium, cloudy, no
full, much, Droga, poorly, near, medium, cloudy, no
half, lack, Kukurydza, medium, medium, near, rainy, no
lack, full, Buraki, poorly, medium, far, rainy, no
half, lack, Buraki, poorly, far, far, cloudy, no
full, half, Droga, well, far, medium, rainy, no
lack, lack, Kukurydza, well, near, near, cloudy, yes
half, half, Buraki, medium, medium, far, cloudy, no
much, full, Buraki, well, near, far, rainy, no
much, full, Buraki, well, near, far, rainy, no
much, lack, Droga, well, far, far, rainy, no
full, half, Droga, developed, far, medium, rainy, no
much, lack, Kukurydza, poorly, medium, near, rainy, no
little, full, Kukurydza, developed, far, far, sunny, no
half, full, Buraki, medium, medium, far, sunny, no
half, little, Kukurydza, poorly, near, near, rainy, no
half, lack, Buraki, well, near, near, rainy, no
full, lack, Droga, poorly, near, far, sunny, no
half, lack, Kukurydza, developed, far, near, rainy, no
much, lack, Kukurydza, well, medium, near, sunny, yes
much, much, Kukurydza, well, near, far, rainy, no
full, full, Droga, developed, far, far, sunny, no
half, lack, Droga, medium, medium, medium, rainy, no
full, lack, Kukurydza, well, medium, far, sunny, no
lack, much, Kukurydza, developed, medium, medium, sunny, no
much, half, Droga, developed, near, medium, rainy, no
little, lack, Kukurydza, poorly, medium, near, sunny, no
half, little, Kukurydza, poorly, near, medium, sunny, no
lack, little, Kukurydza, poorly, medium, near, rainy, no
much, half, Droga, well, near, far, cloudy, no
much, full, Buraki, developed, far, medium, sunny, yes
much, full, Buraki, well, medium, far, sunny, yes
lack, much, Kukurydza, medium, medium, far, cloudy, no
much, lack, Kukurydza, poorly, far, near, sunny, yes
lack, much, Buraki, developed, far, near, rainy, no
much, lack, Buraki, developed, far, far, cloudy, no
lack, lack, Droga, medium, medium, far, sunny, no
little, much, Droga, medium, medium, medium, rainy, no
much, half, Kukurydza, poorly, medium, far, sunny, no
little, half, Buraki, medium, near, medium, sunny, no
lack, much, Buraki, developed, near, near, cloudy, yes
much, much, Buraki, medium, near, near, rainy, no
much, much, Kukurydza, poorly, medium, medium, cloudy, yes
little, half, Droga, well, near, medium, sunny, no
little, full, Buraki, medium, near, medium, rainy, no
much, much, Buraki, well, medium, far, sunny, yes
much, full, Buraki, developed, far, near, rainy, no
full, full, Droga, medium, medium, medium, cloudy, no
little, full, Kukurydza, well, far, far, sunny, no
half, full, Droga, poorly, medium, medium, cloudy, no
lack, much, Kukurydza, medium, near, far, cloudy, yes
lack, half, Droga, developed, medium, medium, sunny, no
little, lack, Buraki, poorly, medium, medium, sunny, no
full, half, Droga, well, medium, near, sunny, no
full, much, Droga, well, medium, near, sunny, no
lack, much, Buraki, well, near, far, cloudy, yes
little, lack, Droga, well, medium, near, cloudy, no
much, little, Kukurydza, medium, far, near, rainy, no
half, lack, Droga, developed, medium, near, cloudy, no
half, lack, Buraki, developed, medium, far, rainy, no
lack, little, Kukurydza, poorly, medium, medium, rainy, no
lack, little, Kukurydza, poorly, medium, near, sunny, no
lack, little, Buraki, well, near, medium, cloudy, no
much, little, Kukurydza, developed, near, medium, cloudy, no
half, lack, Droga, well, near, far, rainy, no
full, little, Droga, well, far, far, rainy, no
much, full, Kukurydza, developed, near, far, sunny, yes
full, full, Kukurydza, poorly, near, near, rainy, no
lack, little, Kukurydza, developed, far, medium, rainy, no
little, much, Buraki, poorly, near, medium, sunny, no
half, full, Droga, well, far, far, rainy, no
much, little, Buraki, developed, medium, far, sunny, no
lack, little, Droga, well, far, far, rainy, no
full, lack, Kukurydza, well, medium, far, rainy, no
half, little, Droga, developed, far, far, rainy, no
half, little, Buraki, developed, far, medium, sunny, no
little, half, Kukurydza, medium, medium, near, rainy, no
lack, full, Kukurydza, well, near, far, rainy, no
half, half, Droga, well, far, medium, sunny, no
full, much, Droga, medium, medium, medium, cloudy, no
lack, full, Kukurydza, well, near, far, sunny, yes
half, full, Buraki, developed, near, medium, cloudy, no
full, lack, Droga, developed, medium, medium, sunny, no
much, little, Droga, developed, medium, near, rainy, no
much, full, Kukurydza, poorly, near, far, sunny, yes
lack, half, Buraki, medium, near, far, cloudy, no
lack, much, Kukurydza, developed, far, medium, rainy, no
half, lack, Droga, well, far, medium, cloudy, no
lack, half, Kukurydza, developed, medium, near, sunny, no
much, little, Kukurydza, medium, medium, near, sunny, yes
full, little, Buraki, well, medium, near, sunny, yes
lack, half, Kukurydza, well, far, far, cloudy, no
little, half, Kukurydza, developed, far, near, rainy, no
much, half, Droga, medium, far, near, rainy, no
little, half, Buraki, poorly, far, medium, sunny, no
full, full, Droga, developed, far, near, sunny, no
full, lack, Droga, well, far, medium, sunny, no
half, lack, Droga, poorly, far, medium, sunny, no
little, full, Kukurydza, developed, far, near, cloudy, no
much, half, Kukurydza, developed, far, far, cloudy, no
little, full, Droga, developed, far, far, cloudy, no
full, little, Kukurydza, poorly, near, medium, rainy, no
